Feature,P-Value,Scores
ram,0.0,3520.1108238957568
battery_power,5.948688277088293e-20,31.59815753989697
px_width,2.116910887834335e-14,22.62088249061287
px_height,2.264880388824631e-10,16.146896203141555
mobile_wt,0.013117390712850792,3.5943181851549952
int_memory,0.03277693883278667,2.9229960794176044
sc_h,0.08324991084279096,2.2259837359669037
talk_time,0.18066864736914287,1.6288113087354124
sc_w,0.43235566351736143,0.9159548275655933
pc,0.4797489023363738,0.8254463576889531
fc,0.5800140135804827,0.6546625546386131
clock_speed,0.7406606936845879,0.41722105247082014
